competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,87,Arena do Grêmio,mandante,GREMIO - RS,pro,Fernandinho,40' (2ºT),85.0
Brasileirao,2017,88,Manoel Barradas,visitante,SANTOS - SP,pro,Copete,33' (1ºT),33.0
Brasileirao,2017,88,Manoel Barradas,visitante,SANTOS - SP,pro,Copete,31' (2ºT),76.0
Brasileirao,2017,89,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Lucca,36' (1ºT),36.0
Brasileirao,2017,90,Ressacada,visitante,FLUMINENSE - RJ,pro,Henrique Dourado,28' (1ºT),28.0
Brasileirao,2017,90,Ressacada,visitante,FLUMINENSE - RJ,contra,Maicon,33' (1ºT),33.0
Brasileirao,2017,90,Ressacada,visitante,FLUMINENSE - RJ,pro,Mascarenhas,13' (2ºT),58.0
Brasileirao,2017,91,Nilton Santos,visitante,AVAI - SC,pro,Joel,5' (1ºT),5.0
Brasileirao,2017,91,Nilton Santos,visitante,AVAI - SC,pro,Joel,16' (1ºT),16.0
Brasileirao,2017,92,São Januário,mandante,VASCO DA GAMA - RJ,pro,Nene,27' (1ºT),27.0
Brasileirao,2017,93,Vila Belmiro,visitante,SPORT - PE,pro,Osvaldo,35' (2ºT),80.0
Brasileirao,2017,94,Morumbi,mandante,SAO PAULO - SP,pro,Jucilei,6' (1ºT),6.0
Brasileirao,2017,94,Morumbi,visitante,FLUMINENSE - RJ,pro,Wendel,6' (2ºT),51.0
Brasileirao,2017,95,Mineirão,mandante,CRUZEIRO - MG,pro,Thiago Neves,38' (1ºT),38.0
Brasileirao,2017,95,Mineirão,mandante,CRUZEIRO - MG,pro,Rafael Sobis,19' (2ºT),64.0
Brasileirao,2017,96,Arena da Baixada,visitante,VITORIA - BA,pro,Fred,17' (1ºT),17.0
Brasileirao,2017,96,Arena da Baixada,mandante,ATLETICO - PR,pro,Wanderson,42' (1ºT),42.0
Brasileirao,2017,96,Arena da Baixada,mandante,ATLETICO - PR,pro,Nikao,8' (2ºT),53.0
Brasileirao,2017,96,Arena da Baixada,mandante,ATLETICO - PR,pro,Ederson,11' (2ºT),56.0
Brasileirao,2017,96,Arena da Baixada,mandante,ATLETICO - PR,pro,Rossetto,35' (2ºT),80.0
Brasileirao,2017,97,Arena do Grêmio,visitante,CORINTHIANS - SP,pro,Jadson,6' (2ºT),51.0
Brasileirao,2017,98,Arena Fonte Nova,visitante,FLAMENGO - RJ,pro,Berrio,28' (2ºT),73.0
Brasileirao,2017,99,Moisés Lucarelli,visitante,PALMEIRAS - SP,pro,Guerra,39' (1ºT),39.0
